,Njogador,Temporada,Time,Adv,C_F,Jogador,Min,Pts_C,Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_Pts_C,LL_Pts_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN
176,11,19,São Paulo,Bauru,1,Jones,9:5,0,9,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
177,12,19,São Paulo,Bauru,1,Equipe,0:0,99,206,16,40,21,36,9,14,20,39,59,28,5,4,13,16,15,7
178,0,19,Bauru,São Paulo,2,Draper,36:7,22,53,4,9,4,11,2,4,3,5,8,0,1,1,5,5,3,0
179,1,19,Bauru,São Paulo,2,Faggiano,32:3,16,30,1,4,5,7,3,4,1,3,4,4,0,0,1,2,1,0
180,2,19,Bauru,São Paulo,2,Wiggins,29:5,10,30,1,4,2,7,3,4,1,1,2,2,2,0,1,2,1,0
181,3,19,Bauru,São Paulo,2,Brito,12:8,5,8,0,0,1,2,3,4,0,0,0,0,0,1,0,2,1,0
182,4,19,Bauru,São Paulo,2,Crescenzi,24:6,4,23,1,6,0,2,1,1,1,2,3,0,0,0,2,1,0,0
183,5,19,Bauru,São Paulo,2,Malachias,20:8,4,14,0,0,2,7,0,0,3,4,7,0,0,1,3,0,0,0
184,6,19,Bauru,São Paulo,2,Larry,18:2,3,14,1,4,0,1,0,0,0,1,1,0,1,0,2,0,2,0
185,7,19,Bauru,São Paulo,2,Andrew,1:9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,8,19,Bauru,São Paulo,2,Pará,18:5,0,9,0,1,0,3,0,0,2,0,2,1,1,0,2,0,0,0
187,9,19,Bauru,São Paulo,2,Gabriel Jaú,4:9,0,8,0,0,0,4,0,0,0,4,4,0,0,0,0,1,0,0
188,10,19,Bauru,São Paulo,2,Equipe,0:0,64,189,8,28,14,44,12,17,13,23,36,7,5,3,16,13,8,0
189,0,19,Brasília,São José,1,Rafa Moreira,30:1,18,36,2,5,5,9,2,3,0,3,3,1,1,0,4,2,1,0
190,1,19,Brasília,São José,1,Nezinho,37:6,17,44,1,6,4,9,6,8,0,3,3,8,2,0,4,9,2,0
191,2,19,Brasília,São José,1,B. Fiorotto,27:3,14,20,0,0,7,10,0,0,5,4,9,1,1,1,3,1,4,0
192,3,19,Brasília,São José,1,Pedrinho Rava,35:0,9,26,0,4,4,6,1,2,0,2,2,1,0,0,2,2,1,0
193,4,19,Brasília,São José,1,Ronald,33:9,8,21,0,1,3,6,2,6,3,7,10,1,1,0,1,5,4,0
194,5,19,Brasília,São José,1,Gabriel,13:7,7,17,1,3,2,4,0,0,0,0,0,0,0,0,1,0,1,0
195,6,19,Brasília,São José,1,Marcelão,12:7,4,8,0,0,2,4,0,0,2,3,5,1,1,0,3,2,1,1
196,7,19,Brasília,São José,1,Suassuna,2:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,8,19,Brasília,São José,1,Pedro,7:3,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
198,9,19,Brasília,São José,1,Veloso,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,10,19,Brasília,São José,1,Felipe,0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,11,19,Brasília,São José,1,Equipe,0:0,77,174,4,19,27,49,11,19,13,25,38,14,6,1,20,21,17,1
201,0,19,São José,Brasília,2,Morillo,28:0,22,46,4,8,4,10,2,2,0,5,5,1,0,0,1,1,1,0
202,1,19,São José,Brasília,2,Ambrosino,18:0,13,15,3,3,2,3,0,0,0,3,3,5,1,0,2,3,1,0
203,2,19,São José,Brasília,2,Rafael,22:1,12,15,0,1,6,6,0,0,0,2,2,1,0,1,0,0,2,1
204,3,19,São José,Brasília,2,Duda,27:7,12,24,4,8,0,0,0,0,1,6,7,5,1,0,4,3,3,0
205,4,19,São José,Brasília,2,L. Eltink,10:0,8,14,0,2,3,3,2,2,0,0,0,1,0,1,1,1,1,0
