,Time,Oponente,Data,Casa/Fora,Classificatoria/Playoffs,Nome,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,substituicao_entra,substituicao_sai,Ar_Pts_C,Ar_Pts_T,Pts_C,Pts_T,posse_de_bola_Oliver,Diferenca_Placar,Vitoria/Derrota,Periodos_Positivos,posse_de_bola,Ataques/min,Tempo_de_posse,Semana
77,Paulistano,Pinheiros,06/12/2017 19:30,fora,1º TURNO,Equipe,15,90,38,84,12,16,9,27,36,15,5,7,19,21,13,3,32,27,21,72,65,190,83.0,-16.0,derrota,4,80,4.21,19,PIN 81  X  65 VER RELATÓRIO  CAP
78,Joinville   AABJ ,Liga Sorocabana,06/12/2017 20:00,casa,1º TURNO,Equipe,33,69,32,58,12,25,8,21,29,15,6,4,21,23,15,2,25,25,25,52,77,152,69.0,2.0,vitória,3,65,3.42,19,JLE 77  X  75 VER RELATÓRIO  LSB
79,Liga Sorocabana,Joinville   AABJ ,06/12/2017 20:00,fora,1º TURNO,Equipe,18,69,36,86,21,25,21,23,44,6,8,1,23,21,13,3,20,20,21,66,75,180,68.0,-2.0,derrota,6,64,3.05,21,JLE 77  X  75 VER RELATÓRIO  LSB
80,KTO Caxias do Sul,Mogi das Cruzes,07/12/2017 19:00,casa,1º TURNO,Equipe,24,60,24,66,18,20,9,34,43,17,9,4,20,19,17,2,27,22,18,53,66,146,70.0,1.0,vitória,5,70,3.5,20,CAX 66  X  65 VER RELATÓRIO  MOG
81,Mogi das Cruzes,KTO Caxias do Sul,07/12/2017 19:00,fora,1º TURNO,Equipe,24,90,36,82,5,11,15,24,39,14,8,1,21,18,14,0,48,43,26,71,65,183,74.0,-1.0,derrota,4,71,3.55,20,CAX 66  X  65 VER RELATÓRIO  MOG
82,Vitória,Vasco da Gama,07/12/2017 21:00,casa,1º TURNO,Equipe,21,66,44,104,12,19,11,29,40,18,12,3,28,19,14,1,39,44,28,74,77,189,85.0,2.0,vitória,6,75,3.75,20,VIT 77  X  75 VER RELATÓRIO  VAS
83,Vasco da Gama,Vitória,07/12/2017 21:00,fora,1º TURNO,Equipe,21,78,34,84,20,32,13,33,46,14,8,2,20,25,18,0,23,28,24,68,75,194,87.0,-2.0,derrota,5,75,3.75,20,VIT 77  X  75 VER RELATÓRIO  VAS
84,Paulistano,Fortaleza Basquete,09/12/2017 14:00,casa,1º TURNO,Equipe,57,120,30,52,9,14,9,28,37,27,7,3,19,16,15,3,48,43,31,66,96,186,78.0,12.0,vitória,7,77,4.05,19,CAP 96  X  84 VER RELATÓRIO  CEA
85,Fortaleza Basquete,Paulistano,09/12/2017 14:00,fora,1º TURNO,Equipe,21,54,44,102,19,22,13,25,38,17,9,1,16,19,13,1,30,25,28,69,84,178,78.0,-12.0,derrota,7,77,3.67,21,CAP 96  X  84 VER RELATÓRIO  CEA
86,Joinville   AABJ ,Mogi das Cruzes,09/12/2017 18:00,casa,1º TURNO,Equipe,27,75,24,68,10,16,10,31,41,11,10,0,18,15,16,1,26,21,20,59,61,159,73.0,-6.0,derrota,3,71,3.74,19,JLE 61  X  67 VER RELATÓRIO  MOG
